N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
34,S-Oil,"104,000","1,500",-1.42%,"2,500","117,086","112,583",80.03,"220,819",8.80,21.76,
35,우리금융지주,"15,800",400,-2.47%,"5,000","115,034","728,061",35.54,"2,920,080",4.42,10.59,
36,LG,"72,800","1,000",-1.36%,"5,000","114,515","157,301",36.50,"192,553",4.70,12.36,
37,KT&G,"82,400",400,+0.49%,"5,000","113,129","137,292",37.59,"382,947",11.58,10.74,
38,삼성에스디에스,"137,000","2,500",-1.79%,500,"106,008","77,378",12.81,"111,418",17.34,8.80,
39,SK바이오사이언스,"136,000","8,500",+6.67%,500,"104,426","76,784",4.95,"2,806,471",28.17,38.08,
40,대한항공,"29,950","1,350",-4.31%,"5,000","104,172","347,821",13.45,"2,537,020",15.72,11.60,
41,하이브,"250,500","4,000",-1.57%,500,"103,590","41,353",15.41,"165,255",69.47,6.83,
42,삼성화재,"210,000","4,500",-2.10%,500,"99,487","47,375",49.05,"52,051",9.46,7.09,
43,포스코케미칼,"127,500","1,500",+1.19%,500,"98,766","77,463",6.20,"574,798",72.32,7.92,
44,KT,"35,700",500,-1.38%,"5,000","93,217","261,112",42.11,"994,976",6.87,9.36,
45,아모레퍼시픽,"158,500","10,000",-5.93%,500,"92,711","58,493",26.75,"439,622",56.49,4.20,
46,엔씨소프트,"412,500","10,000",-2.37%,500,"90,560","21,954",41.99,"84,851",22.82,12.62,
47,SK아이이테크놀로지,"126,500","1,000",-0.78%,"1,000","90,191","71,298",9.46,"251,796",90.81,5.57,
48,LG이노텍,"372,500","17,000",-4.36%,"5,000","88,160","23,667",25.95,"295,760",9.92,30.94,
49,기업은행,"11,550",50,-0.43%,"5,000","85,967","744,301",14.84,"1,776,582",3.81,9.21,
50,넷마블,"96,200","3,700",-3.70%,100,"82,687","85,954",22.74,"181,561",34.42,4.29,
51,SK스퀘어,"54,500",900,-1.62%,100,"77,100","141,468",39.84,"390,261",3.38,N/A,
